# scan = 504
# date = 5/3/2024
# time = 11:37:05 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 1.4 k 0 l 0 e 2.9 0.1 0.1 preset mcu 60
# builtin_command = scan h 1.4 k 0 l 0 e 2.9 0.1 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = inelastic scans in H0L plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.027293,5.027293,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.142605,-0.075642,0.056767,-0.179972,-0.092589,-0.045001,0.005468,-0.196116,-0.000650
# mode = 0
# plane_normal = 0.021815,0.013086,0.999676
# ubconf = UB03May2024_95238AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
     21     1.4000     0.0000    -0.0000     0.9000     53.215      0.000 132001.000     60.000   102.8206   140.0142   -79.9715     0.4200    -1.0000    27.4160    -1.5225    94.0818    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.4000     3.5000     1.4927     1.4706     1.000
     22     1.4000     0.0000     0.0001     0.8000     53.794      1.000 132001.000     60.000   104.0140   139.4564   -81.0872     0.4200    -1.0000    27.2000    -1.4725    94.8698    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.3000     3.5000     1.4942     1.4679     1.000
     23     1.4000    -0.0000    -0.0001     0.7000     54.304      1.000 132001.000     60.000   105.2354   138.8738   -82.2523     0.4200    -1.0000    26.9840    -1.4075    95.6780    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.2000     3.5000     1.4915     1.4687     1.000
     24     1.4000     0.0000    -0.0000     0.6000     55.120      1.000 132001.000     60.000   106.5093   138.2646   -83.4709     0.4200    -1.0000    26.7640    -1.3350    96.5077    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.1000     3.5000     1.4916     1.4709     1.000
     25     1.4000    -0.0000     0.0001     0.5000     55.868      3.000 132001.000     60.000   107.8384   137.6264   -84.7472     0.4200    -1.0000    26.5400    -1.2500    97.3602    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     4.0000     3.5000     1.4916     1.4644     1.000
     26     1.4000    -0.0000     0.0000     0.4000     58.540      4.000 132001.000     60.000   109.2012   136.9570   -86.0861     0.4200    -1.0000    26.3160    -1.1500    98.2373    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     3.9000     3.5000     1.4919     1.4688     1.000
     27     1.4000    -0.0000     0.0001     0.3000     69.294      1.000 132001.000     60.000   110.6241   136.2534   -87.4932     0.4200    -1.0000    26.0880    -1.0375    99.1405    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     3.8000     3.5000     1.4923     1.4727     1.000
     28     1.4000     0.0000     0.0002     0.2000     66.653      5.000 132001.000     60.000   112.1105   135.5126   -88.9748     0.4200    -1.0000    25.8560    -0.9100   100.0718    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     3.7000     3.5000     1.4921     1.4631     1.000
     29     1.4000    -0.0000    -0.0001     0.1000     55.046     99.000 132001.000     60.000   113.6641   134.7310   -90.5379     0.4200    -1.0000    25.6200    -0.7600   101.0334    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     3.6000     3.5000     1.4927     1.4662     1.000
# Sum of Counts = 155
# Center of Mass = 0.647097+/-0.103462
# Full Width Half-Maximum = 1.812973+/-0.170670
# 12:11:40 PM  5/3/2024   scan completed.
