location, completed, command, scan_title, scan_number, samplename
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0001.dat, 2024-01-26T13:11:07-05:00, scan 2theta 5 8 0.1 preset time 10, CoTiO3, m1=0, coll=80 [IN=80, OUT=0], T = @(temp) K ---QUICK CHECK, 1, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0030.dat, 2024-01-28T09:15:30-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 50 K, 30, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0031.dat, 2024-01-28T10:20:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 30 K, 31, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0032.dat, 2024-01-28T11:30:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 25 K, 32, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0033.dat, 2024-01-28T12:40:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 15 K, 33, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0034.dat, 2024-01-28T13:50:33-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 5 K, 34, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0035.dat, 2024-01-28T14:55:40-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 25 K, 35, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0036.dat, 2024-01-28T16:00:48-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 30 K, 36, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0037.dat, 2024-01-28T17:05:59-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 50 K, 37, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0038.dat, 2024-01-28T18:11:10-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 100 K, 38, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0039.dat, 2024-01-28T19:24:25-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 200 K, 39, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0040.dat, 2024-01-28T20:20:44-05:00, scan 2theta 5 8 0.1 preset time 10, NiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 295 K  --TEST, 40, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0041.dat, 2024-01-28T21:21:10-05:00, scan 2theta 6 11.6 0.05 preset time 30, NiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 295 K, 41, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0042.dat, 2024-01-28T22:40:55-05:00, scan 2theta 6 11.6 0.05 preset time 30, NiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 400 K, 42, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0043.dat, 2024-01-29T00:00:40-05:00, scan 2theta 6 11.6 0.05 preset time 30, NiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 500 K, 43, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0044.dat, 2024-01-29T01:27:55-05:00, scan 2theta 6 11.6 0.05 preset time 30, NiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 700 K, 44, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0045.dat, 2024-01-29T05:45:42-05:00, scan 2theta 6 11.6 0.05 preset time 30, NiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 5 K, 45, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0046.dat, 2024-01-29T07:00:57-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 200 K, 46, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0047.dat, 2024-01-29T08:03:06-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 50 K, 47, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0048.dat, 2024-01-29T08:03:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 295 K, 48, CoTiO3 and Ni doped
