# scan = 82
# date = 7/5/2024
# time = 9:39:57 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 424
# command = scan h 0+0.5 k 0+0.5 l 2.9 e 0.1 4 0.1 preset mcu 60
# builtin_command = scan h 0+0.5 k 0+0.5 l 2.9 e 0.1 4 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Songxue Chi, Bing Li
# scan_title = HH2.9 scan new at Q=[0+0.5 0+0.5 2.9]
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = NiTiO3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.034785,5.034785,13.812004,90.000000,90.000000,120.000000
# ubmatrix = -0.016965,-0.026212,-0.071913,-0.201388,-0.193307,0.007769,-0.108415,0.120600,-0.003178
# mode = 0
# plane_normal = -0.040320,0.035237,0.998565
# ubconf = UB02Jul2024_34030PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp     temp_2
      21     0.5000     0.5000     2.9000     2.1000     68.546      2.000 144001.000     60.000    82.0977   149.1264   -61.7472     0.4200    -1.0000    32.1680     3.4150    64.9874     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     6.9000     4.8000     1.4392     1.4287     1.0000   120.000
      22     0.5000     0.5000     2.9000     2.2000     69.672      0.000 144001.000     60.000    81.5169   149.3716   -61.2567     0.4200    -1.0000    32.3360     3.6075    64.6332     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.0000     4.8000     1.4390     1.4279     1.0000   120.000
      23     0.5000     0.5000     2.9000     2.3000     70.679      1.000 144001.000     60.000    80.9442   149.6111   -60.7778     0.4200    -1.0000    32.5040     3.8025    64.2816     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.1000     4.8000     1.4394     1.4279     1.0000   120.000
      24     0.5000     0.5000     2.8999     2.4000     71.429      2.000 144001.000     60.000    80.3795   149.8450   -60.3101     0.4200    -1.0000    32.6720     3.9950    63.9325     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.2000     4.8000     1.4394     1.4292     1.0000   120.000
      25     0.5000     0.5000     2.9000     2.5000     72.053      2.000 144001.000     60.000    79.8227   150.0735   -59.8530     0.4200    -1.0000    32.8400     4.1925    63.5858     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.3000     4.8000     1.4394     1.4279     1.0000   120.000
      26     0.5000     0.5000     2.8999     2.6000     72.759      2.000 144001.000     60.000    79.2865   150.2968   -59.4063     0.4200    -1.0000    33.0040     4.3850    63.2416     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.4000     4.8000     1.4397     1.4287     1.0000   120.000
     27     0.5000     0.5000     2.8999     2.7000     72.826      2.000 144001.000     60.000    78.7446   150.5152   -58.9695     0.4200    -1.0000    33.1720     4.5800    62.8996     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.5000     4.8000     1.4396     1.4283     1.0000   120.000
     28     0.5000     0.5000     2.8999     2.8000     73.162      3.000 144001.000     60.000    78.2354   150.7288   -58.5423     0.4200    -1.0000    33.3320     4.7750    62.5598     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.6000     4.8000     1.4390     1.4272     1.0000   120.000
     29     0.5000     0.5000     2.9001     2.9000     73.162      3.000 144001.000     60.000    77.7202   150.9378   -58.1243     0.4200    -1.0000    33.4960     4.9750    62.2221     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.7000     4.8000     1.4395     1.4276     1.0000   120.000
     30     0.5000     0.5000     2.9000     3.0000     73.425      6.000 144001.000     60.000    77.2241   151.1424   -57.7152     0.4200    -1.0000    33.6560     5.1700    61.8865     2.3108     2.0210     0.0000     0.0000     0.0000     0.0000    24.0000     4.0000    12.0000    22.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8160     7.8000     4.8000     1.4400     1.4280     1.0000   120.000
